"","location","continent","total_cases_per_million","gdp_per_capita","total_deaths_per_million","extreme_poverty"
"202326","Switzerland","Europe",486917.81,57410.166,1611.469,NA
"203287","Syria","Asia",2593.011,NA,142.959,NA
"204314","Taiwan","Asia",330806.638,NA,553.793,NA
"205235","Tajikistan","Asia",1787.037,2896.913,12.559,4.8
"206202","Tanzania","Africa",611.532,2683.304,12.901,49.1
"207241","Thailand","Asia",65486.777,16277.671,460.2,0.1
"208202","Timor","Asia",17374.961,6570.102,102.885,30.3
"209181","Togo","Africa",4442.686,1429.813,32.773,49.2
"209672","Tokelau","Oceania",NA,NA,NA,NA
"210239","Tonga","Oceania",151421.861,5425.621,112.289,NA
"211208","Trinidad and Tobago","North America",120737.301,28763.071,2779.151,NA
"212187","Tunisia","Africa",92795.584,10849.297,2367.977,2
"213159","Turkey","Asia",198258.619,25129.341,1185.863,0.2
"213713","Turkmenistan","Asia",NA,16389.023,NA,NA
"214668","Turks and Caicos Islands","North America",140642.085,NA,787.298,NA
"215228","Tuvalu","Oceania",2029.113,3575.104,NA,3.3
"216190","Uganda","Africa",3586.761,1697.707,76.826,41.6
"217170","Ukraine","Europe",141501.139,7894.393,2973.925,0.1
"218184","United Arab Emirates","Asia",110115.221,67293.483,248.699,NA
"219197","United Kingdom","Europe",354472.199,39753.244,3109.914,0.2
"220218","United States","North America",289042.607,54225.446,3171.02,1.2
"221036","United States Virgin Islands","North America",NA,NA,NA,NA
"222057","Upper middle income","",55032.541,NA,989.438,NA
"223027","Uruguay","South America",289593.362,20551.409,2198.787,0.1
"223995","Uzbekistan","Asia",7070.275,6253.104,47.274,NA
"224723","Vanuatu","Oceania",36667.85,2921.909,42.847,13.2
"225700","Vatican","Europe",35891.089,NA,NA,NA
"226669","Venezuela","South America",19296.014,16745.022,205.747,NA
"227689","Vietnam","Asia",117186.907,6171.884,439.631,2
"228643","Wales","Europe",NA,NA,NA,NA
"229393","Wallis and Futuna","Oceania",294498.103,NA,603.656,NA
"229394","Western Sahara","Africa",NA,NA,NA,NA
"230415","World","",79352.507,15469.207,827.762,10
"231357","Yemen","Asia",354.487,1479.147,64.072,18.8
"232322","Zambia","Africa",16669.522,3689.251,200.673,57.5
"233285","Zimbabwe","Africa",15801.745,1899.775,343.494,21.4
